personperRTT,tm,tp,tpwm,tpmie,ppl/move,move per 1p,tpm/move,ATT/tt,ATT+AWT/tt
0.2,1723.0,45.0,1732.0,887.0,0.0261172373766686,38.28888888888889,0.5147997678467788,0.5121247113163973,38.48888888888889
0.4,3704.0,95.0,3792.0,1963.0,0.02564794816414687,38.98947368421052,0.5299676025917927,0.517668776371308,39.915789473684214
0.6,6273.0,168.0,6351.0,3226.0,0.026781444285031087,37.339285714285715,0.5142674956161326,0.5079515037002047,37.80357142857143
0.8,7994.0,220.0,8120.0,4145.0,0.02752064048036027,36.336363636363636,0.5185138854140605,0.5104679802955665,36.90909090909091
1.0,11630.0,310.0,12044.0,6147.0,0.026655202063628546,37.516129032258064,0.5285468615649184,0.5103786117568914,38.851612903225806
1.2,12665.0,370.0,13409.0,6926.0,0.029214370311883144,34.229729729729726,0.5468614291354126,0.5165187560593631,36.24054054054054
1.4,14578.0,424.0,15284.0,7880.0,0.029084922485937713,34.382075471698116,0.5405405405405406,0.5155718398325045,36.04716981132076
1.6,17607.0,522.0,18741.0,9755.0,0.029647299369568923,33.729885057471265,0.554041006417902,0.5205165145936717,35.90229885057471
1.8,18884.0,581.0,20178.0,10474.0,0.03076678669773353,32.5025817555938,0.5546494386782461,0.5190801863415602,34.729776247848534
2.0,22002.0,659.0,23753.0,12366.0,0.02995182256158531,33.386949924127464,0.5620398145623126,0.5206079232096998,36.044006069802734
2.2,26132.0,798.0,28556.0,15091.0,0.030537272309811726,32.7468671679198,0.5774911985305373,0.5284703740019611,35.78446115288221
2.4,30625.0,925.0,34550.0,18290.0,0.030204081632653063,33.108108108108105,0.5972244897959184,0.5293777134587554,37.351351351351354
2.6,36507.0,1115.0,40682.0,21310.0,0.03054208781877448,32.74170403587444,0.5837236694332594,0.5238188879602773,36.48609865470852
2.8,34460.0,1118.0,38942.0,20793.0,0.03244341265235055,30.822898032200357,0.6033952408589669,0.5339479225514868,34.83184257602862
3.0,39846.0,1277.0,46126.0,24406.0,0.03204838628720574,31.202819107282693,0.6125081564021483,0.5291158999262888,36.12059514487079
3.2,38904.0,1300.0,45871.0,24152.0,0.033415587086160804,29.926153846153845,0.6208101994653507,0.5265200235442873,35.285384615384615
3.4,45880.0,1547.0,55325.0,28589.0,0.033718395815170006,29.657401422107306,0.6231255448997385,0.5167464979665612,35.762766645119584
3.6,53065.0,1739.0,63444.0,33225.0,0.032771129746537266,30.51466359976998,0.6261189107698106,0.523690183468886,36.48303622771708
3.8,56444.0,1953.0,69964.0,37167.0,0.034600666146977536,28.901177675371223,0.6584756572886401,0.5312303470356183,35.82386072708653
4.0,55438.0,1913.0,68760.0,36411.0,0.034507016847649626,28.97961317302666,0.6567877629063098,0.5295375218150087,35.94354417145844
4.2,62251.0,2169.0,77991.0,41319.0,0.03484281377005992,28.700322729368374,0.6637483735201041,0.5297918990652768,35.95712309820193
4.4,57830.0,2126.0,74236.0,39550.0,0.03676292581704997,27.20131702728128,0.6839010893999654,0.5327603857966485,34.91815616180621
4.6,70676.0,2611.0,92432.0,49463.0,0.03694323391250212,27.068556108770586,0.6998556794385647,0.535128526917085,35.40099578705477
4.8,74063.0,2705.0,98250.0,51724.0,0.03652296018254729,27.38003696857671,0.698378407571932,0.5264529262086514,36.32162661737523
5.0,70904.0,2719.0,95951.0,50665.0,0.03834762495768927,26.077234277307834,0.7145577118357216,0.5280299319444299,35.28907686649504
5.2,80929.0,3011.0,109448.0,58241.0,0.03720545169222405,26.877781467950847,0.7196555005004387,0.5321339814341057,36.34938558618399
5.4,86068.0,3326.0,119779.0,63261.0,0.038643862992052795,25.877330126277812,0.7350118510944834,0.528147671962531,36.01292844257366
5.6,87710.0,3489.0,124375.0,65396.0,0.039778816554554786,25.139008311837202,0.7455934329038878,0.5257969849246231,35.64775007165377
5.8,91646.0,3721.0,134690.0,70485.0,0.04060188115138686,24.629400698736898,0.7691006699692294,0.5233127923379612,36.197258801397474
6.0,95558.0,3858.0,138936.0,73827.0,0.04037338579710752,24.76879212026957,0.7725883756462044,0.5313741578856452,36.01244167962675
6.2,103219.0,4222.0,152875.0,81039.0,0.040903322062798515,24.44789199431549,0.7851170811575389,0.5300997547015536,36.20914258645192
6.4,105086.0,4393.0,157760.0,83665.0,0.04180385588946196,23.921238333712726,0.7961574329596711,0.5303308823529411,35.91167766901889
6.6,111236.0,4784.0,174570.0,91311.0,0.043007659390844694,23.251672240802677,0.8208763349994606,0.5230623818525519,36.49038461538461
6.8,114406.0,4869.0,177742.0,92821.0,0.04255895669807527,23.496816594783322,0.8113298253588098,0.5222232224235127,36.50482645307044
7.0,116764.0,5084.0,183128.0,96957.0,0.04354081737521839,22.966955153422504,0.8303672364769963,0.5294493469048971,36.0204563335956
7.2,127452.0,5617.0,207994.0,107639.0,0.0440714935818975,22.690404130318676,0.844545397482974,0.5175101204842447,37.02937511126936
7.4,121571.0,5518.0,198856.0,102900.0,0.045389114180191,22.031714389271475,0.8464189650492305,0.5174598704590256,36.03769481696267
7.6,121490.0,5561.0,201187.0,105661.0,0.04577331467610503,21.846790145657256,0.8697094411062639,0.5251880091656022,36.17820535874843
7.8,131339.0,6035.0,220983.0,114368.0,0.0459497940444194,21.76288318144159,0.8707847630939782,0.5175420733721598,36.6169014084507
8.0,132703.0,6274.0,232283.0,120755.0,0.04727850915201615,21.15125916480714,0.9099643564953317,0.5198615481976727,37.02311125278929
8.2,135598.0,6577.0,240459.0,124077.0,0.04850366524580008,20.616998631594953,0.9150356199943952,0.5160006487592479,36.560589934620644
